,,,,,,,,,,,,,,,,
"//!","GNU/Linux distribution timeline data sheet",,,,,,,,,,,,,,,
"//!","Copyright (C) 2010-2012 Donjan Rodic, Andreas Lundqvist, Mohammed A. Mustafa",,,,,,,,,,,,,,,
"//!","Permission is granted to copy, distribute and/or modify this document",,,,,,,,,,,,,,,
"//!","under the terms of the GNU Free Documentation License, Version 1.3",,,,,,,,,,,,,,,
"//!","or any later version published by the Free Software Foundation;",,,,,,,,,,,,,,,
"//!","with no Invariant Sections, no Front-Cover Texts, and no Back-Cover Texts.",,,,,,,,,,,,,,,
"//!",,,,,,,,,,,,,,,,
"//!",,,,,,,,,,,,,,,,
"//","Open/save this file as a standard CSV  <=>  comma (,) separated and double quotes ("") as text delimiter.",,,,,,,,,,,,,,,
"//","You can safely insert commas or double quotes into data fields.",,,,,,,,,,,,,,,
"//","EXCEPTION: Don't insert a comma right after a double quote, since this terminates the field.",,,,,,,,,,,,,,,
"//","When editing with LibreOffice Calc, load the file with “quoted field as text” turned on to prevent autoformatting.",,,,,,,,,,,,,,,
"//",,,,,,,,,,,,,,,,
"//!","gnuclad parses this correctly no matter in what order the nodes are. You can swap any lines.",,,,,,,,,,,,,,,
"//!",,,,,,,,,,,,,,,,
"//!","Empty lines get ignored, the first column controls the rest of the line:",,,,,,,,,,,,,,,
"//!","# = comment, N = node, C = connector, D = domain",,,,,,,,,,,,,,,
"//!","SVG = SVG image to include, PNG = PNG image to include",,,,,,,,,,,,,,,
"//!",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
"#","Nodes",,,,,,,,,,,,,,,
"#","Name","Color","Parent","Start","Stop","Icon","Description","[Namechange","When","Description","[Namechange","When","Description",". . . ]]",,
"N","Debian","#bf1238",,"1993.8.16",,"images/debian.svg","http://www.debian.org",,,,,,,,,
"N","Ubuntu","#675a3b","Debian","2004.10.20",,"images/ubuntu.svg","http://www.ubuntu.com/",,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
"N","SLS","#9c8ac4",,"1992.6","1994.1",,"http://en.wikipedia.org/wiki/Softlanding_Linux_System",,,,,,,,,
"N","Slackware","#000","SLS","1993.7.16",,"images/slackware.svg","http://www.slackware.com/",,,,,,,,,
,,,,,,,,,,,,,,,,
"N","S.u.S.E","#438643","Slackware","1994.3",,"images/suse.svg","http://en.wikipedia.org/wiki/SUSE_Linux_distributions","SuSE","1998.12","http://www.novell.com/linux/","SUSE","2003.10.24","http://www.novell.com/linux/","openSUSE","2006.12.7","http://www.opensuse.org/"
"N","SLES","#7ac142","S.u.S.E","2000.10.31",,,"http://www.novell.com/products/server/",,,,,,,,,
,,,,,,,,,,,,,,,,
"N","Red Hat","#cc0000",,"1994.11.3",,"images/redhat.svg","http://www.redhat.com/","Red Hat Enterprise","2002.3.26","http://www.redhat.com/",,,,,,
"N","Fedora Core","#362e94","Red Hat","2003.11.6",,"images/fedora.svg","http://fedoraproject.org/","Fedora","2007.5.31","http://fedoraproject.org/",,,,,,
"N","CentOS","#6f4376","Red Hat","2003.12.1",,"images/centos.svg","http://centos.org/",,,,,,,,,
"#","Connectors",,,,,,,,,,,,,,,
"#","Leaving 'To When' empty will result in using 'From When' as this value",,,,,,,,,,,,,,,
"#","From When","From","To When","To","Thickness","Color",,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
"C","1996.5","Red Hat",,"S.u.S.E","2","#cc0000",,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
"#","Domains",,,,,,,,,,,,,,,
"#","Distribution","Color","Intensity",,,,,,,,,,,,,
"D","Debian","#bf1238","6",,,,,,,,,,,,,
"D","Slackware","#d3d7cf","22",,,,,,,,,,,,,
"D","Red Hat","#cc0000","6",,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
"#","Images",,,,,,,,,,,,,,,
"#","File Path","x Position","y Position",,,,,,,,,,,,,
"SVG","images/tux.svg","5","430",,,,,,,,,,,,,
"SVG","images/gnu.svg","0","-50",,,,,,,,,,,,,
//"SVG","images/info-connectors.svg","30","200",,,,,,,,,,,,,
